pdf_name,status
030-088l_S1_Zerebrale-Gefaeßmalformationen_2023-08.pdf,ok
032-061l_S1_Talgdruesenkarzinom_2025-04.pdf,ok
048-012l_S2k_Prophylaxe-von-schweren-Erkrankungen-durch-Respiratory-Syncytial-Virus-RSV-bei-Risikokindern_2024-10.pdf,IndexError: list index out of range
015-076l_S2k_Frueher-Schwangerschaftsverlust-im-1-Trimenon_2025-01.pdf,ok
032-034OLl_S3_Endometriumkarzinom_2024-07.pdf,ok
024-022l_S2k_Prophlaxe_Vitamin_K_Mangel_Neugeborene_2016-04-abgelaufen.pdf,ok
064-009l_S1_Atemwegserkrankung-Kinder-Bildgebende-Diagnostik_2023-07.pdf,ok
030-125l_S2e_LL_Diagnostik-Therapie-exekutive-Dysfunktionen_2024-12-abgelaufen.pdf,ok
045-022l_S1_Nicht-infektioese-anteriore-Uveitis_2024-03.pdf,ok
021-008l_S3__Gallensteine-Diagnostik-Therapie_2018-08-abgelaufen.pdf,IndexError: list index out of range
002-026l_S2k_Arbeitsplatzbezogener-Inhalationstest-AIT_2021-12.pdf,IndexError: list index out of range
174-022l_S1_Pubertas-tarda-und-Hypogonadismus_2021-12_01.pdf,ok
022-004l_S1_Nicht-eitrige_ZNS_Infektionen_Gehirn_Rueckenmark_Kinder_Jugendliche_2024-07_02.pdf,IndexError: list index out of range
051-026l_S3_Essstoerung-Diagnostik-Therapie_2020-03-abgelaufen.pdf,ok
030-006l-S1_Delir-und-Verwirrtheitszustaende-Alkoholentzugsdelir_2022-01.pdf,IndexError: list index out of range
015-072l_S2k_Vulvovaginalkandidose_2020-10_01.pdf,ok
023-003l_S2k_Thoraxschmerzen_im_Kindes-_und_Jugendalter_2020-08.pdf,ok
015-025l_S2k_Praevention-Therapie-Fruehgeburt_2025-03-verlaengert.pdf,ok
183-002l_S3_Training_Frakturprophylaxe_2025-02_1.pdf,ok
007-096l_S2k_Zahnsanierung_vor_Herzklappenersatz_2017-12_01-abgelaufen.pdf,IndexError: list index out of range
012-024l_S2e_Patellaluxation_2021-11_01.pdf,ok
069-019l_S2k_Funktionelle-nicht-organische-Obstipation-Stuhlinkontinenz-im-Kindes-und-Jugendalter_2022-04.pdf,IndexError: list index out of range
023-015l_S2k_Fallotsche-Tetralogie_2022-01.pdf,ok
017-078l_S2k_Vestibulaere-Funktionsstoerungen_2021-05.pdf,ok
001-020l_S3_Intravasale-Volumentherapie-Erwachsene_2020-10.pdf,ok
038-015l_S3_Borderline-Persoenlichkeitsstörungen_2022-11.pdf,IndexError: list index out of range
174-002l_S2e_Diagnostik-des-Wachstumshormonmangels-im-Kindes-und-Jugendalter_2022-04.pdf,IndexError: list index out of range
011-020l_S3_Einsatz-intraaortale-Ballongegenpulsation-Herzchirurgie-IABP_2024-09.pdf,IndexError: list index out of range
048-018l_S1_Behandlung-unterer-Atemwegsinfektionen-Kinder-Jugendliche-mit-schweren-neurologischen-Beeintraechtigungen_2023-04.pdf,ok
033-056l_S2e_subacromiales_Impingement_2021-12_01.pdf,ok
083-038l_S3_Ideale-Behandlungszeitpunkte-kieferorthopaedischer-Anomalien_2022-01_01.pdf,ok
013-023l_S2k_Diagnostik-Therapie-Zoster-Postzosterneuralgie_2020-09-abgelaufen.pdf,ok
043-056l_S2k_Urethritis_posterior_2021-12.pdf,ok
006-042l_S1_Bauchwanddefekte-Gastroschisis-Omphalocele_2020-11-verlaengert.pdf,ok
061-021l_S2k_Allergologische-Diagnostik-Ueberempfindlichkeitsreaktionen-Arzneimittel_2024-02.pdf,IndexError: list index out of range
001-028l_S1_Atemwegsmanagement_2023-09.pdf,ok
053-047l_S3_Multimorbiditaet_2024-11.pdf,ok
145-001l_S3_Schmerzassessment-bei-aelteren-Menschen_in-der-vollstationaeren_Altenhilfe_2018-02_1-abgelaufen.pdf,ok
026-023l_S2k_Diagnose_der_Mukoviszidose_2023-11.pdf,IndexError: list index out of range
032-009l_S3_Magenkarzinom_Diagnostik_Therapie_Adenokarzinome_oesophagogastraler_Uebergang_2019-12.pdf,IndexError: list index out of range
174-008l_S1_Hereditaere-hypophosphataemische-Rachitiden_2022-08.pdf,ok
064-006l_S1_Harntraktdilatation-Kinder-Bildgebende_Diagnostik_2023-07.pdf,ok
025-014l_S1_Akute-lymphoblastische-Leukaemie-ALL-im-Kindesalter_2021-07.pdf,ok
032-044OLl_S3_Adulte_Weichgewebesarkome_2022-06.pdf,ok
068-003l_S2k_AGE-Akute-infektioese-Gastroenteritis-Saeuglinge-Kinder-Jugendliche-2024-07.pdf,IndexError: list index out of range
023-033l_S2k_Pulmonalklappeninsuffizienz-Pulmonalklappenersatz-Kinder-Jugendliche-junge-Erwachsene-EMAH-Patienten_2024-03.pdf,IndexError: list index out of range
059-004l_S2k_Gonorrhoe-Diagnostik-Therapie_2019-03_abgelaufen.pdf,ok
043-058l_S3_Epidemiologie-Diagnostik-Therapie-Nachsorge-Blasenekstrophie-Epispadie-Komplex-BEEK_2024-09.pdf,ok
017-024l_S2k_Therapie-Tonsillo-Pharyngitis__2024-03.pdf,IndexError: list index out of range
011-022l_S3_Management_Mediastinitis_nach_herzchirurgischem_Eingriff_2019-09-abgelaufen.pdf,ok
021-017l_S2k_Komplikationen-der-Leberzirrhose_2023-09-abgelaufen.pdf,IndexError: list index out of range
2025-02_053-048l_S3_Versorgung-PatientInnen-chronische-nicht-nierenersatz-therpapiepflichtige-Nierenkrankheit-Hausarztpraxis_01.pdf,ok
023-029l_S2k_Primaere-Kardiomyopathien-Kinder-Jugendliche__2024-05.pdf,IndexError: list index out of range
025-016l_S2k_Sichelzellkrankheit_2020-12.pdf,IndexError: list index out of range
023-049l_S2k_Praevention-kardiovaskulaerer-Erkrankungen-im-Kindes-und-Jugendalter__2023-12.pdf,ok
023-017l_S2k_Double-Outlet-Right-Ventricle-DORV_2022-01.pdf,ok
025-027l_S1_Anaemiediagnostik-im_Kindesalter_2024-06.pdf,IndexError: list index out of range
083-034l_S3_Implantate_Immundefizienz_2020-07-abgelaufen.pdf,ok
005-009l_S3_Kubitaltunnelsyndrom-Diagnostik-Therapie_2018-02-abgelaufen.pdf,IndexError: list index out of range
023-018l_S2k_Pulmonalatresie-mit-Ventrikelseptumdefekt_2024-01.pdf,ok
088-009l_S2k_Operative-Therapie-des-primaeren-und-renalen-Hyperparathyreoidismus_2025-01-verlaengert.pdf,ok
